date,commodity,price
2026-03-01,Yellow Corn,19.00
2026-03-02,Yellow Corn,19.50
2026-03-03,Yellow Corn,20.00
2026-03-04,Yellow Corn,15.00
2026-03-05,Yellow Corn,16.50
2026-03-06,Yellow Corn,22.00
2026-03-07,Yellow Corn,21.00
2026-03-08,Yellow Corn,16.00
2026-03-09,Yellow Corn,18.00
2026-03-10,Yellow Corn,22.50
2026-03-11,Yellow Corn,19.00
2026-03-12,Yellow Corn,20.00
2026-03-13,Yellow Corn,16.00
2026-03-14,Yellow Corn,17.00
2026-03-15,Yellow Corn,21.00
2026-03-16,Yellow Corn,22.00
2026-03-17,Yellow Corn,18.00
2026-03-18,Yellow Corn,19.00
2026-03-19,Yellow Corn,15.50
2026-03-20,Yellow Corn,16.00
2026-03-21,Yellow Corn,20.00
2026-03-22,Yellow Corn,21.00
2026-03-23,Yellow Corn,18.00
2026-03-24,Yellow Corn,19.00
2026-03-25,Yellow Corn,23.00
2026-03-26,Yellow Corn,17.00
2026-03-27,Yellow Corn,16.00
2026-03-28,Yellow Corn,20.00
2026-03-29,Yellow Corn,21.00
2026-03-30,Yellow Corn,19.00
2026-03-31,Yellow Corn,18.00
2026-04-01,Yellow Corn,22.00
2026-04-02,Yellow Corn,15.00
2026-04-03,Yellow Corn,19.00
2026-04-04,Yellow Corn,20.00
2026-04-05,Yellow Corn,16.00
2026-04-06,Yellow Corn,21.00
2026-04-07,Yellow Corn,18.00
2026-04-08,Yellow Corn,20.00
2026-04-09,Yellow Corn,17.00
